Time,prometheus_http_response_size_bytes_count
2024-08-08 15:32:30,1
2024-08-08 15:32:45,1
2024-08-08 15:33:00,1
2024-08-08 15:33:15,1
2024-08-08 15:33:30,1
2024-08-08 15:33:45,1
2024-08-08 15:34:00,1
2024-08-08 15:34:15,1
2024-08-08 15:34:30,1
2024-08-08 15:34:45,1
2024-08-08 15:35:00,1
2024-08-08 15:35:15,1
2024-08-08 15:35:30,1
2024-08-08 15:35:45,1
2024-08-08 15:36:00,1
2024-08-08 15:36:15,1
2024-08-08 15:36:30,1
2024-08-08 15:36:45,1
2024-08-08 15:37:00,1
2024-08-08 15:37:15,1
2024-08-08 15:37:30,1
